Weights for binary data: [4, 5, 9, 8, 1, 5, 3, 7, 2]


Removed Attribute  | Naive Bayes   | Decision Tree | Random Forest | NN (MLP)      | SVM           | k-NN (k = 7)  | k-NN (k = 9)  | k-NN (k = 11) | k-NN (k = 13) | Gain/Loss    
None               | 76.709 %      | 87.848 %      | 89.620 %      | 88.861 %      | 73.671 %      | 87.848 %      | 76.456 %      | 88.608 %      | 75.949 %      | +0.000 %     
famsize            | 77.215 %      | 87.848 %      | 89.873 %      | 87.342 %      | 76.709 %      | 88.354 %      | 76.203 %      | 91.646 %      | 76.456 %      | +19.241 %    
sex                | 76.203 %      | 87.595 %      | 89.873 %      | 87.848 %      | 74.684 %      | 87.848 %      | 77.215 %      | 91.899 %      | 76.456 %      | +18.228 %    
Dalc               | 76.709 %      | 88.101 %      | 89.620 %      | 88.608 %      | 74.684 %      | 88.101 %      | 76.203 %      | 91.139 %      | 75.696 %      | +17.975 %    
activities         | 75.696 %      | 87.848 %      | 89.620 %      | 88.608 %      | 74.430 %      | 88.101 %      | 76.962 %      | 90.633 %      | 76.456 %      | +12.658 %    
absences           | 76.456 %      | 87.848 %      | 90.380 %      | 87.595 %      | 74.430 %      | 87.595 %      | 76.709 %      | 90.380 %      | 75.949 %      | +8.354 %     
freetime           | 75.949 %      | 87.848 %      | 90.127 %      | 87.848 %      | 75.443 %      | 87.595 %      | 74.684 %      | 91.139 %      | 75.443 %      | +5.316 %     
failures           | 75.443 %      | 87.342 %      | 90.127 %      | 88.861 %      | 74.177 %      | 87.595 %      | 75.949 %      | 90.127 %      | 74.684 %      | +2.785 %     
higher             | 76.962 %      | 87.848 %      | 90.127 %      | 88.861 %      | 74.430 %      | 87.595 %      | 75.696 %      | 88.608 %      | 76.203 %      | +3.291 %     
school             | 76.709 %      | 88.101 %      | 89.114 %      | 87.342 %      | 75.190 %      | 87.595 %      | 76.709 %      | 90.380 %      | 76.203 %      | -1.519 %     
paid               | 76.456 %      | 87.595 %      | 89.873 %      | 86.835 %      | 73.418 %      | 87.089 %      | 76.962 %      | 91.139 %      | 75.949 %      | -1.013 %     
Fjob               | 73.924 %      | 87.595 %      | 89.873 %      | 89.114 %      | 75.443 %      | 87.848 %      | 76.203 %      | 89.367 %      | 75.696 %      | -2.278 %     
nursery            | 75.190 %      | 88.101 %      | 89.620 %      | 88.101 %      | 74.684 %      | 87.595 %      | 75.443 %      | 90.380 %      | 75.696 %      | -2.278 %     
health             | 75.696 %      | 87.342 %      | 89.873 %      | 86.582 %      | 74.937 %      | 87.595 %      | 75.949 %      | 91.899 %      | 75.443 %      | -2.025 %     
Mjob               | 74.430 %      | 87.848 %      | 89.620 %      | 88.354 %      | 74.430 %      | 87.595 %      | 75.443 %      | 90.633 %      | 74.684 %      | -5.063 %     
studytime          | 75.949 %      | 88.101 %      | 89.873 %      | 87.342 %      | 74.177 %      | 87.595 %      | 76.203 %      | 89.620 %      | 75.443 %      | -7.089 %     
famrel             | 75.190 %      | 87.848 %      | 89.620 %      | 89.114 %      | 74.430 %      | 86.835 %      | 75.696 %      | 89.367 %      | 75.443 %      | -6.329 %     
Pstatus            | 77.215 %      | 87.848 %      | 89.620 %      | 85.570 %      | 75.190 %      | 87.342 %      | 76.456 %      | 90.886 %      | 75.696 %      | -9.873 %     
reason             | 75.443 %      | 87.848 %      | 89.620 %      | 85.570 %      | 74.684 %      | 88.101 %      | 75.696 %      | 91.392 %      | 76.203 %      | -11.392 %    
famsup             | 75.696 %      | 87.595 %      | 89.620 %      | 87.848 %      | 74.937 %      | 87.848 %      | 76.962 %      | 88.608 %      | 75.949 %      | -10.633 %    
traveltime         | 76.456 %      | 87.848 %      | 89.620 %      | 87.089 %      | 74.430 %      | 87.342 %      | 75.190 %      | 90.127 %      | 75.190 %      | -11.646 %    
